text,label
"Congratulations Priya! You are selected for Internshala Student Internship Program. Pay registration fee ₹1500 today to confirm your seat. Limited seats only. Send payment on UPI id hrverify@upi and WhatsApp screenshot to 9876543210.",1
"Congratulations! Your mobile number has won ₹5,00,000 in lucky draw. Click http://bit.ly/claim-prize-now and pay processing fee ₹999 to claim your reward within 24 hours.",1
"PM Scholarship approved for you. To release ₹25,000 scholarship amount, pay processing fee ₹799 immediately. Contact on WhatsApp only. Apply link: http://tinyurl.com/scholarship-release.",1
"Your SBI account will be blocked today. Share OTP immediately to update KYC. Click http://sbi-verify-kyc-login.com and enter Aadhaar, PAN and OTP.",1
"Login to your Google account now at https://gooogle-security-login.com to avoid suspension.",1
"Dear student, your scholarship application status is available on the National Scholarship Portal. Please visit scholarships.gov.in directly and log in using your credentials. Do not share OTP with anyone.",0
"Hi, your Internshala application has been reviewed. We will get back to you within 3 business days.",0
"Your NSP scholarship application is under verification by your institute.",0
"Dear applicant, please attend the virtual interview scheduled on Friday at 3 PM via the link in your registered email.",0
"Your TCS NQT result is ready. Login to nextstep.tcs.com to check your score.",0
"Congratulations on clearing the first round. HR will contact you for the next steps.",0
"Your SBI account statement is ready. Login to onlinesbi.sbi to view it.",0
"HDFC Bank: Your credit card bill of ₹4,230 is due on 15th. Pay via NetBanking.",0
"Infosys InfyTQ result: You have cleared the Power Programmer certification.",0
"Your Unstop profile was shortlisted for the campus hackathon. Check your email for details.",0
"UGC NET admit card is available. Download from ugcnet.nta.nic.in using your credentials.",0
"Wipro NLTH application submitted. Aptitude test scheduled in 2 weeks.",0
"Your IRCTC ticket booking PNR 1234567890 confirmed. Journey on 12-May-2026.",0
"PhonePe: ₹500 received from Rahul Kumar. Available balance: ₹3,240.",0
"LinkedIn: You have 3 new connection requests and 2 messages from recruiters.",0
"Naukri: 5 new jobs match your profile. Login to view them.",0
"Earn ₹5000 daily from home. WhatsApp us to join our team. No experience needed.",1
"Part time job: Like YouTube videos and earn ₹500 per task. Pay ₹200 registration.",1
"Work from home opportunity. Earn ₹50,000 per month. Guaranteed income. Join now.",1
"You have won ₹5,00,000 in lucky draw. Pay ₹2000 processing fee to claim prize.",1
"Congratulations! You are the lucky winner. Send ₹500 to release your prize money.",1
"KBC lottery: You have won ₹25 lakh. Pay tax of ₹3000 to claim reward.",1
"PM Scholarship of ₹50,000 approved for you. Pay ₹500 processing fee to release funds.",1
"NSP scholarship selected. Pay ₹300 to get ₹25,000 scholarship in your account.",1
"Government scholarship of ₹1,00,000 waiting for you. Deposit ₹999 now.",1
"Your SBI account will be blocked. Share your OTP immediately to verify.",1
"HDFC bank calling. Please share the OTP received on your phone to update KYC.",1
"Your PhonePe account needs verification. Send OTP to our agent.",1
"Paytm security alert. Your account will be suspended. Share OTP to prevent this.",1
"RBI officer calling. Share your ATM PIN to receive government relief fund.",1
"Congratulations! You have been selected for our internship. Pay ₹1500 registration fee to confirm your slot.",1
"You are selected for work from home internship. Pay ₹999 joining fee within 24 hours.",1
"Internshala internship offer. Registration fee ₹500 required. Contact on WhatsApp only.",1
"TCS internship selected. Pay ₹2000 training fee to get your offer letter.",1
"You got shortlisted for internship. Deposit ₹1200 advance fee to proceed.",1
